date,Temp,Pres,jO3_O2_O1D_CAFS,O3_M,H2O_M,CO_M,CH4_M,HO2_ATHOS,Altitude,[OH]_measured,[OH]_calc
2016-07-29 12:32:20-04:00,239.797,275.172,3.40051666666667e-05,8.367860000000002e-08,0.000210157,8.40657e-08,1.838535e-06,9.568,10394.87,7566983.740413767,422192.4216445751
2016-07-29 12:32:50-04:00,239.764,275.068,3.41015366666667e-05,8.953380000000004e-08,0.000223924,8.54187e-08,1.838535e-06,9.525,10395.24,7565164.924252808,476278.1611508912
2016-07-29 12:38:50-04:00,239.344,275.004,3.513032e-05,7.282460000000001e-08,0.00023419,7.774949999999999e-08,1.838535e-06,11.877,10391.59,7193680.116957365,452418.0272995964
2016-07-29 12:39:20-04:00,239.221,275.061,3.527567e-05,7.756360000000001e-08,0.000241515,8.290200000000002e-08,1.838535e-06,10.572,10390.16,7198870.682248886,473067.80286186
2016-07-29 12:40:00-04:00,239.028,275.015,3.565417e-05,7.712910000000002e-08,0.000286891,8.36833e-08,1.838535e-06,10.988,10391.86,7753744.14931196,560628.8065812255
2016-07-29 12:40:30-04:00,238.905,275.027,3.59343066666667e-05,7.544060000000001e-08,0.000295455,8.258230000000002e-08,1.838535e-06,11.401,10391.94,7758074.657654533,575808.2994407864
2016-07-29 12:41:00-04:00,239.0,275.095,3.615735e-05,7.89567e-08,0.000310197,8.4025e-08,1.838535e-06,9.642,10390.0,7882019.738038931,627087.8185241148
2016-07-29 12:41:30-04:00,238.976,275.04400000000004,3.62337e-05,7.9575e-08,0.000320932,8.384330000000002e-08,1.838535e-06,9.887,10391.13,7881349.919075011,656484.046051563
2016-07-29 12:42:00-04:00,239.056,275.058,3.641914e-05,8.10149e-08,0.000312353,8.37482e-08,1.838535e-06,9.783,10391.67,8104230.98971898,654277.2213580268
2016-07-29 12:42:30-04:00,239.019,275.05400000000003,3.662382666666671e-05,8.53168e-08,0.000325787,8.3905e-08,1.838535e-06,9.679,10391.51,7980284.812722728,721598.277255895
2016-07-29 12:43:00-04:00,239.144,275.061,3.663223e-05,7.51204e-08,0.000264452,7.98592e-08,1.838535e-06,10.681,10390.77,7976316.525317107,537696.4155584095
2016-07-29 12:43:30-04:00,239.126,275.111,3.657601666666672e-05,7.47855e-08,0.000255382,8.00639e-08,1.838535e-06,11.005,10388.67,7978366.962441848,515096.43600153766
2016-07-29 12:44:00-04:00,239.189,275.088,3.66631366666667e-05,7.50477e-08,0.000249393,8.025660000000002e-08,1.838535e-06,10.733,10389.22,7125534.891727426,504855.7494786215
2016-07-29 12:44:30-04:00,239.33,275.139,3.682163e-05,7.44401e-08,0.000234383,8.01481e-08,1.838535e-06,10.458,10386.89,6731119.302255026,472956.4413363027
2016-07-29 12:45:00-04:00,239.351,275.035,3.6629393333333295e-05,7.4088857e-08,0.000232681,7.98316e-08,1.838535e-06,11.55,10389.67,6727984.654638851,466394.5128372538
2016-07-29 12:45:30-04:00,239.443,275.11400000000003,3.639133e-05,7.306169999999999e-08,0.000229239,7.776569999999999e-08,1.838535e-06,13.165,10387.33,6494206.027793852,459960.5122453664
2016-07-29 12:46:00-04:00,239.345,275.04,3.640616333333329e-05,7.38762e-08,0.000232872,7.970960000000002e-08,1.838535e-06,11.813,10389.34,6495117.562696018,463203.6994798071
2016-07-29 12:46:30-04:00,239.953,278.896,3.651985e-05,7.475330000000001e-08,0.000257131,8.073080000000001e-08,1.838535e-06,10.452,10299.46,5718824.767434831,511425.5701226184
2016-07-29 12:47:00-04:00,241.6,291.422,3.6579156666666704e-05,8.595360000000002e-08,0.000488923,7.91932e-08,1.838535e-06,14.162,9986.68,5934936.714176025,1122479.7202334045
2016-07-29 12:47:30-04:00,244.134,305.323,3.655604666666671e-05,7.4265e-08,0.000399876,6.820330000000002e-08,1.851343298e-06,12.44,9651.63,5265362.79137746,878141.4126739065
2016-07-29 12:48:00-04:00,247.06,319.54400000000004,3.684477333333329e-05,7.40464e-08,0.000453917,6.96927e-08,1.851343298e-06,11.924,9322.35,5445343.441773811,963624.5692883478
2016-07-29 12:48:30-04:00,249.743,334.154,3.6905606666666704e-05,6.48204e-08,0.000443381,6.75954e-08,1.851343298e-06,11.408,8994.89,5633137.938264303,827729.0057837516
2016-07-29 12:49:30-04:00,254.967,365.024,3.722941e-05,6.91314e-08,0.000194597,6.48387e-08,1.846025e-06,11.128,8340.38,5301261.891067119,386895.25372037245
2016-07-29 12:50:00-04:00,256.517,378.809,3.726046e-05,6.73112e-08,0.000246804,6.50281e-08,1.846508333e-06,11.135,8058.56,4398117.948280739,469849.96942978306
2016-07-29 12:50:30-04:00,258.368,393.62,3.741431e-05,8.02364e-08,0.000250877,6.9214e-08,1.851051429e-06,11.143,7766.21,4802292.4497312885,536536.0262693536
2016-07-29 12:51:00-04:00,260.238,408.849,3.77169333333333e-05,7.9783e-08,0.000303965,6.976632899999999e-08,1.84956625e-06,12.953,7476.08,4952248.142753606,636650.7951988999
2016-07-29 12:51:30-04:00,261.636,424.086,3.826483666666671e-05,8.264350000000002e-08,0.000524876,6.9415258e-08,1.8503725e-06,18.761,7194.65,5414748.302819649,1141264.259562923
2016-07-29 12:52:00-04:00,263.277,440.149,3.807189666666671e-05,7.9438e-08,0.000651895,6.8144345e-08,1.84922375e-06,17.84,6907.46,5584813.025218989,1350410.0720163884
2016-07-29 12:52:30-04:00,264.374,456.575,3.75517e-05,7.873060000000001e-08,0.000596132,6.585037700000001e-08,1.84894625e-06,16.916,6623.42,5769195.084083232,1221055.8688973703
2016-07-29 12:53:00-04:00,264.149,473.648,3.598502e-05,7.131289999999999e-08,0.002756029,6.524871e-08,1.84491e-06,21.397,6336.9,5860088.7366983965,4849775.969984006
2016-07-29 12:53:30-04:00,266.439,492.646,3.63771833333333e-05,7.038630000000002e-08,0.003196565,6.967002000000002e-08,1.84810375e-06,27.276,6031.82,7382605.780119559,5227966.822312603
2016-07-29 12:54:00-04:00,268.16700000000003,513.235,3.531457e-05,6.497690000000002e-08,0.005289323,7.474381e-08,1.8517125e-06,26.299,5709.67,7641584.929529365,7149301.222492281
2016-07-29 12:54:30-04:00,270.03700000000003,534.184,3.5772656666666704e-05,6.13506e-08,0.006467573,7.5855496e-08,1.85061e-06,25.321,5392.61,7898417.999938065,8062683.676211533
